trial_n,guess_dir,guess_es,real,correct,samples,n_obs,violin,boxplot,points,barplot,trinary,one_two,accumulate,meanse
1,A=B,NA,0,TRUE,33,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
2,A=B,NA,0,TRUE,18,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
3,B>A,NA,0.8,TRUE,14,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
4,A=B,NA,-0.8,FALSE,24,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
5,A=B,NA,0,TRUE,44,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
6,A>B,NA,-0.8,TRUE,30,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
7,A=B,NA,0.5,FALSE,32,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
8,A=B,NA,0.2,FALSE,42,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
9,B>A,NA,0.2,TRUE,44,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
10,A=B,NA,0,TRUE,38,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
11,A=B,NA,-0.2,FALSE,46,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
12,A=B,NA,0,TRUE,59,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
13,B>A,NA,0,FALSE,34,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
14,A>B,NA,-0.8,TRUE,60,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
15,B>A,NA,0,FALSE,54,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
16,A=B,NA,0,TRUE,31,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
17,A=B,NA,0,TRUE,50,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
18,B>A,NA,-0.2,FALSE,31,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
19,B>A,NA,0,FALSE,43,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
20,B>A,NA,0.2,TRUE,41,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
