trial_n,guess_dir,guess_es,real,correct,samples,n_obs,violin,boxplot,points,barplot,trinary,one_two,accumulate,meanse
1,A>B,NA,-0.2,TRUE,44,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
2,A=B,NA,-0.5,FALSE,26,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
3,B>A,NA,-0.5,FALSE,53,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
4,A=B,NA,0.2,FALSE,59,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
5,A=B,NA,0,TRUE,47,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
6,B>A,NA,0.5,TRUE,31,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
7,B>A,NA,0,FALSE,17,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
8,A=B,NA,-0.2,FALSE,39,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
9,A=B,NA,-0.2,FALSE,96,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
10,A>B,NA,0,FALSE,27,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
11,B>A,NA,0,FALSE,43,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
12,A=B,NA,-0.5,FALSE,41,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
13,A>B,NA,-0.8,TRUE,46,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
14,A=B,NA,0,TRUE,23,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
15,A>B,NA,0,FALSE,26,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
16,B>A,NA,0,FALSE,20,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
17,B>A,NA,-0.2,FALSE,26,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
18,A=B,NA,0,TRUE,55,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
19,B>A,NA,0.5,TRUE,18,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
20,A>B,NA,-0.8,TRUE,35,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
