group,val,trial_n,sample_n
A,1.804,1,1
B,0.145,1,2
A,0.576,1,3
B,1.052,1,4
A,0.68,1,5
B,-1.597,1,6
A,-0.619,1,7
B,-0.56,1,8
A,0.14,1,9
B,0.455,1,10
A,1.778,1,11
B,1.596,1,12
A,-0.908,1,13
B,-0.218,1,14
A,2.37,1,15
B,-0.764,1,16
A,0.367,1,17
B,-0.008,1,18
A,0.07,1,19
B,-1.588,1,20
A,1.291,1,21
B,-1.041,1,22
A,1.56,1,23
B,1.381,1,24
A,-1.081,1,25
B,-1.091,1,26
A,-0.234,1,27
B,-0.192,1,28
A,-0.769,1,29
B,-0.732,1,30
A,1.022,1,31
B,1.258,1,32
A,2.363,1,33
B,-0.719,1,34
A,0.949,1,35
B,1.655,1,36
A,-0.426,1,37
B,-2.14,1,38
A,1.492,1,39
B,-0.732,1,40
A,1.956,1,41
B,0.219,1,42
A,-1.626,1,43
B,-0.915,1,44
A,-0.907,2,45
B,0.43,2,46
A,-0.461,2,47
B,-1.563,2,48
A,0.622,2,49
B,-1.825,2,50
A,0.081,2,51
B,0.11,2,52
A,-2.579,2,53
B,-1.98,2,54
A,-0.507,2,55
B,-1.293,2,56
A,-1.415,2,57
B,-0.361,2,58
A,-2.002,2,59
B,-0.917,2,60
A,-1.381,2,61
B,-1.816,2,62
A,-1.762,2,63
B,-0.813,2,64
A,-0.106,2,65
B,-1.536,2,66
A,-0.969,2,67
B,-2.503,2,68
A,-2.481,2,69
B,-4,2,70
A,0.854,3,71
B,-0.677,3,72
A,1.444,3,73
B,0.313,3,74
A,-0.189,3,75
B,-1.129,3,76
A,-0.561,3,77
B,0.683,3,78
A,-0.713,3,79
B,-1.283,3,80
A,-0.919,3,81
B,-1.453,3,82
A,-0.827,3,83
B,1.893,3,84
A,-0.897,3,85
B,-1.555,3,86
A,0.6,3,87
B,-0.093,3,88
A,0.886,3,89
B,-1.141,3,90
A,0.14,3,91
B,0.394,3,92
A,0.252,3,93
B,0.376,3,94
A,-1.111,3,95
B,-0.757,3,96
A,-0.325,3,97
B,0.758,3,98
A,0.715,3,99
B,0.765,3,100
A,0.216,3,101
B,0.418,3,102
A,-0.121,3,103
B,0.43,3,104
A,0.086,3,105
B,0.102,3,106
A,-1.615,3,107
B,0.074,3,108
A,-0.074,3,109
B,-0.049,3,110
A,0.461,3,111
B,-0.823,3,112
A,-1.532,3,113
B,0.015,3,114
A,-1.253,3,115
B,-0.253,3,116
A,-1.264,3,117
B,-0.21,3,118
A,0.737,3,119
B,-0.627,3,120
A,0.966,3,121
B,-0.669,3,122
A,0.359,3,123
A,-0.213,4,124
B,-0.116,4,125
A,-0.205,4,126
B,-0.295,4,127
A,0.588,4,128
B,0.665,4,129
A,-0.233,4,130
B,-0.233,4,131
A,0.192,4,132
B,0.343,4,133
A,-0.468,4,134
B,-0.394,4,135
A,0.539,4,136
B,-0.674,4,137
A,-0.155,4,138
B,-0.829,4,139
A,0.132,4,140
B,0.147,4,141
A,0.245,4,142
B,-0.242,4,143
A,-0.175,4,144
B,-0.255,4,145
A,-0.603,4,146
B,0.194,4,147
A,0.359,4,148
B,0.102,4,149
A,0.704,4,150
B,-0.63,4,151
A,0.363,4,152
B,-0.659,4,153
A,-0.7,4,154
B,0.655,4,155
A,-0.196,4,156
B,0.325,4,157
A,-0.271,4,158
B,0.011,4,159
A,-0.471,4,160
B,0.116,4,161
A,-0.145,4,162
B,0.32,4,163
A,-0.774,4,164
B,-0.192,4,165
A,-0.331,4,166
B,0.135,4,167
A,-0.438,4,168
B,-0.008,4,169
A,-0.54,4,170
B,0.016,4,171
A,-0.234,4,172
B,-0.804,4,173
A,-0.105,4,174
B,0.323,4,175
A,-0.192,4,176
B,-0.406,4,177
A,-0.8,4,178
B,-0.81,4,179
A,-0.407,4,180
B,0.266,4,181
A,-0.524,4,182
A,1.433,5,183
B,3.489,5,184
A,1.443,5,185
B,-0.19,5,186
A,-0.674,5,187
B,1.534,5,188
A,2.637,5,189
B,0.629,5,190
A,0.731,5,191
B,0.749,5,192
A,0.127,5,193
B,1.058,5,194
A,2.025,5,195
B,2.166,5,196
A,-2.027,5,197
B,0.397,5,198
A,1.132,5,199
B,0.179,5,200
A,0.465,5,201
B,0.594,5,202
A,1.265,5,203
B,0.718,5,204
A,0.156,5,205
B,-0.15,5,206
A,-0.09,5,207
B,1.576,5,208
A,1.455,5,209
B,-0.812,5,210
A,1.937,5,211
B,1.341,5,212
A,0.696,5,213
B,-0.885,5,214
A,0.069,5,215
B,1.216,5,216
A,0.278,5,217
B,-1.535,5,218
A,2.996,5,219
B,0.609,5,220
A,0.846,5,221
B,1.546,5,222
A,0.221,5,223
B,1.571,5,224
A,0.216,5,225
B,0.107,5,226
A,-0.445,5,227
B,0.341,5,228
A,0.385,5,229
A,-0.884,6,230
B,0.657,6,231
A,-1.215,6,232
B,-0.277,6,233
A,0.029,6,234
B,0.053,6,235
A,-0.315,6,236
B,1.698,6,237
A,-0.254,6,238
B,0.12,6,239
A,-0.339,6,240
B,0.072,6,241
A,-0.016,6,242
B,1.115,6,243
