trial_n,guess_dir,guess_es,real,correct,samples,n_obs,violin,boxplot,points,barplot,trinary,one_two,accumulate,meanse
1,B>A,0.2,0,FALSE,52,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2,B>A,0.2,0,FALSE,37,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
3,A>B,-0.2,0,FALSE,67,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
4,A=B,0,0.5,FALSE,21,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
5,A>B,-0.2,-0.5,TRUE,59,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
6,A=B,0,-0.2,FALSE,65,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
7,B>A,0.2,0,FALSE,60,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
8,A=B,0,0,TRUE,28,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
9,A=B,0,-0.2,FALSE,23,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
10,A=B,0,0,TRUE,19,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
11,A=B,0,0,TRUE,14,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
12,B>A,0.5,-0.2,FALSE,18,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
13,A=B,0,0.5,FALSE,25,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
14,A=B,0,0,TRUE,42,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
15,B>A,0.2,0.5,TRUE,20,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
16,A=B,0,-0.8,FALSE,35,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
17,B>A,0.2,-0.2,FALSE,23,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
18,A=B,0,-0.5,FALSE,18,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
19,B>A,0.2,-0.2,FALSE,46,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
20,A=B,0,0,TRUE,44,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
