group,val,trial_n,sample_n
A,-0.406,1,1
B,-0.121,1,2
A,1.124,1,3
B,-1.477,1,4
A,0.406,1,5
B,1.34,1,6
A,-0.4,1,7
B,0.413,1,8
A,1.146,1,9
B,0.725,1,10
A,0.113,1,11
B,-2.179,1,12
A,-0.939,1,13
B,0.206,1,14
A,-1.619,1,15
B,-1.492,1,16
A,-1.345,1,17
B,-0.75,1,18
A,-0.64,1,19
B,-0.985,1,20
A,-1.479,1,21
B,-2.839,1,22
A,-2.774,1,23
B,-2.166,1,24
A,-0.046,1,25
B,-2.528,1,26
A,0.172,1,27
B,-3.035,1,28
A,-2.016,1,29
B,-0.409,1,30
A,-0.036,1,31
B,-1.295,1,32
A,-0.832,1,33
B,-0.203,1,34
A,-0.51,1,35
B,-1.328,1,36
A,-0.877,1,37
B,-1.013,1,38
A,-1.33,1,39
B,-2.763,1,40
A,-2.394,1,41
B,-0.733,1,42
A,-1.955,1,43
B,0.99,1,44
A,-0.629,1,45
B,-1.533,1,46
A,-0.912,1,47
B,-0.373,1,48
A,-1.199,1,49
B,-0.844,1,50
A,-1.595,1,51
B,0.255,1,52
A,-1.457,2,53
B,0.309,2,54
A,-0.334,2,55
B,-1.32,2,56
A,-2.134,2,57
B,-1.464,2,58
A,-2.416,2,59
B,-0.69,2,60
A,0.477,2,61
B,-0.705,2,62
A,-0.927,2,63
B,-1.291,2,64
A,-1.336,2,65
B,-0.444,2,66
A,-1.154,2,67
B,-2.459,2,68
A,-1.847,2,69
B,0.009,2,70
A,-2.493,2,71
B,-1.708,2,72
A,-1.881,2,73
B,-1.198,2,74
A,0.255,2,75
B,-2.369,2,76
A,-1.314,2,77
B,1.536,2,78
A,-1.431,2,79
B,0.665,2,80
A,-1.454,2,81
B,-1.202,2,82
A,-2.231,2,83
B,-0.458,2,84
A,-1.141,2,85
B,0.052,2,86
A,-2.019,2,87
B,-0.885,2,88
A,0.47,2,89
A,0.583,3,90
B,-0.095,3,91
A,0.187,3,92
B,-0.306,3,93
A,0.219,3,94
B,0.882,3,95
A,0.273,3,96
B,0.93,3,97
A,-0.051,3,98
B,1.736,3,99
A,2.528,3,100
B,0.333,3,101
A,1.627,3,102
B,1.894,3,103
A,-0.525,3,104
B,-0.534,3,105
A,0.262,3,106
B,0.897,3,107
A,-0.522,3,108
B,1.694,3,109
A,0.694,3,110
B,-0.254,3,111
A,0.386,3,112
B,0.415,3,113
A,0.138,3,114
B,1.763,3,115
A,0.991,3,116
B,0.166,3,117
A,0.502,3,118
B,0.385,3,119
A,1.052,3,120
B,2.152,3,121
A,1.425,3,122
B,-0.223,3,123
A,0.476,3,124
B,-0.62,3,125
A,0.801,3,126
B,-0.425,3,127
A,2.139,3,128
B,0.878,3,129
A,1.815,3,130
B,0.897,3,131
A,2.832,3,132
B,0.052,3,133
A,0.265,3,134
B,0.937,3,135
A,0.351,3,136
B,0.048,3,137
A,3.366,3,138
B,-0.736,3,139
A,0.426,3,140
B,0.46,3,141
A,0.446,3,142
B,1.294,3,143
A,1.152,3,144
B,0.752,3,145
A,-1.391,3,146
B,0.126,3,147
A,-0.846,3,148
B,-0.246,3,149
A,1.475,3,150
B,-0.319,3,151
A,1.742,3,152
B,1.009,3,153
A,0.4,3,154
B,1.135,3,155
A,-1.452,3,156
A,-0.152,4,157
B,-0.141,4,158
A,-0.531,4,159
B,0.594,4,160
A,-0.254,4,161
B,0.73,4,162
A,-0.006,4,163
B,0.163,4,164
A,0.809,4,165
B,-0.304,4,166
A,0.751,4,167
B,-0.4,4,168
A,0.281,4,169
B,0.283,4,170
A,0.126,4,171
B,-0.098,4,172
A,0.723,4,173
B,0.45,4,174
A,0.018,4,175
B,-0.795,4,176
A,0.432,4,177
A,0.957,5,178
B,1.594,5,179
A,-0.072,5,180
B,0.563,5,181
A,1.011,5,182
B,0.107,5,183
A,0.997,5,184
B,-1.412,5,185
A,0.776,5,186
B,1.247,5,187
A,0.592,5,188
B,0.689,5,189
A,0.65,5,190
B,0.872,5,191
A,0.408,5,192
B,-0.702,5,193
A,0.731,5,194
B,0.727,5,195
A,1.37,5,196
B,0.112,5,197
A,0.228,5,198
B,0.989,5,199
A,1.307,5,200
B,2.398,5,201
A,3.847,5,202
B,0.91,5,203
A,1.976,5,204
B,0.552,5,205
A,1.757,5,206
B,0.989,5,207
A,1.743,5,208
B,0.745,5,209
A,-0.148,5,210
B,1.705,5,211
A,0.6,5,212
B,0.363,5,213
A,1.542,5,214
B,0.461,5,215
A,1.865,5,216
B,-0.712,5,217
A,0.219,5,218
B,-0.65,5,219
A,1.358,5,220
B,0.915,5,221
A,0.739,5,222
B,-0.436,5,223
A,1.095,5,224
B,1.855,5,225
A,1.363,5,226
B,0.427,5,227
A,0.321,5,228
B,0.148,5,229
A,0.308,5,230
B,-1.074,5,231
A,1.268,5,232
B,-0.631,5,233
A,1.447,5,234
B,1.81,5,235
A,-0.37,5,236
A,0.558,6,237
B,0.222,6,238
A,0.787,6,239
B,-0.937,6,240
A,0.438,6,241
B,0.463,6,242
A,1.002,6,243
B,-0.022,6,244
A,1.165,6,245
B,1.289,6,246
A,0.814,6,247
B,1.085,6,248
A,0.963,6,249
B,0.477,6,250
A,0.357,6,251
B,0.712,6,252
A,1.573,6,253
B,1.463,6,254
A,1.04,6,255
B,-0.499,6,256
A,1.376,6,257
B,1.143,6,258
A,1.206,6,259
B,2.366,6,260
A,1.119,6,261
B,0.95,6,262
A,0.743,6,263
B,1.115,6,264
A,1.671,6,265
B,0.663,6,266
A,-0.878,6,267
B,2.021,6,268
A,0.351,6,269
B,-0.09,6,270
A,0.69,6,271
B,1.241,6,272
A,1.493,6,273
B,1.196,6,274
A,1.376,6,275
B,-0.001,6,276
A,1.437,6,277
B,0.666,6,278
A,0.145,6,279
B,0.037,6,280
A,1.71,6,281
B,0.829,6,282
A,0.443,6,283
B,0.555,6,284
A,0.191,6,285
B,0.775,6,286
A,0.701,6,287
B,1.136,6,288
A,1.03,6,289
B,1.657,6,290
A,0.996,6,291
B,0.755,6,292
A,1.256,6,293
B,1.818,6,294
A,1.306,6,295
B,0.428,6,296
A,0.691,6,297
B,1.596,6,298
A,0.246,6,299
B,0.731,6,300
A,0.979,6,301
A,-0.298,7,302
B,1.112,7,303
A,-0.071,7,304
B,-0.146,7,305
A,0.023,7,306
B,0.42,7,307
A,0.371,7,308
B,0.819,7,309
A,1.801,7,310
B,-1.241,7,311
A,-0.19,7,312
B,-0.239,7,313
A,1.004,7,314
B,0.937,7,315
A,1.708,7,316
B,0.326,7,317
A,-0.041,7,318
B,-1.714,7,319
A,1.569,7,320
B,1.202,7,321
A,-0.453,7,322
B,-0.796,7,323
A,-0.205,7,324
B,-0.405,7,325
A,1.591,7,326
B,0.992,7,327
A,0.145,7,328
B,-0.711,7,329
A,0.541,7,330
B,0.17,7,331
A,-0.222,7,332
B,0.191,7,333
A,0.621,7,334
B,-0.667,7,335
A,-0.25,7,336
B,-1.005,7,337
A,-0.949,7,338
B,0.456,7,339
A,-0.083,7,340
B,2.85,7,341
A,0.366,7,342
B,0.462,7,343
A,1.063,7,344
B,-0.885,7,345
A,0.665,7,346
B,-0.103,7,347
