group,val,trial_n,sample_n
A,-0.885,1,1
B,0.197,1,2
A,-0.747,1,3
B,-0.912,1,4
A,0.489,1,5
B,-0.285,1,6
A,0.373,1,7
B,-0.649,1,8
A,-0.811,1,9
B,-0.07,1,10
A,-0.26,1,11
B,0.424,1,12
A,-0.523,1,13
B,-2.16,1,14
A,-0.885,1,15
B,-0.657,1,16
A,-0.395,1,17
B,-1.786,1,18
A,-1.355,1,19
B,-0.457,1,20
A,-2.238,1,21
B,-2.339,1,22
A,-1.713,1,23
B,0.352,1,24
A,-2.105,1,25
B,-1.683,1,26
A,-1.223,1,27
B,-1.675,1,28
A,-0.471,1,29
B,-0.091,1,30
A,-0.287,1,31
B,-1.4,1,32
A,0.03,1,33
B,0.997,1,34
A,0.317,1,35
B,-1.449,1,36
A,-0.975,1,37
B,0.418,1,38
A,-0.951,1,39
B,-0.05,1,40
A,-0.525,1,41
B,0.9,1,42
A,-0.33,1,43
B,-1.065,1,44
A,-0.115,1,45
B,-0.968,1,46
A,-1.104,1,47
B,-0.086,1,48
A,-0.282,1,49
B,-0.498,1,50
A,-1.624,1,51
B,-0.76,1,52
A,-2.667,1,53
B,0.395,1,54
A,-1.076,1,55
B,-0.297,1,56
A,-0.743,1,57
A,0.697,2,58
B,-0.233,2,59
A,0.748,2,60
B,-0.095,2,61
A,-0.737,2,62
B,0.079,2,63
A,0.46,2,64
B,0.244,2,65
A,-0.132,2,66
B,1.064,2,67
A,-0.335,2,68
B,-0.723,2,69
A,-0.127,2,70
B,-0.751,2,71
A,-0.905,2,72
B,0.827,2,73
A,-1.642,2,74
B,-0.224,2,75
A,0.056,2,76
B,-0.472,2,77
A,-0.952,2,78
B,0.198,2,79
A,-0.672,2,80
B,-0.864,2,81
A,2.497,2,82
B,-0.581,2,83
A,-2.013,2,84
B,1.003,2,85
A,1.179,2,86
B,0.143,2,87
A,-0.065,2,88
B,-1.199,2,89
A,-0.005,2,90
B,0.356,2,91
A,2.296,2,92
B,1.093,2,93
A,-1.816,2,94
B,0.712,2,95
A,1.46,2,96
B,0.223,2,97
A,0.538,2,98
